cuisine,Categories_final_edit,Date,Name,Street_Address,Amount,Description,City,State,Zip,Clarified_Name,Clarified_Purpose,complete_address,lat,lon
American,food,3/3/17,Beacon Hill Bistro,25 charles st,4.82,Refreshments With Staff,Boston,MA,2114,,,"Beacon Hill Bistro,25 charles st,Boston,MA",42.3569241,-71.0696907
American,Food,4/27/16,Beacon Hill Hotel,25 charles st,227.75,Food and refreshments with colleagues to discuss budget,Boston,MA,2114,,,"Beacon Hill Hotel,25 charles st,Boston,MA",42.3569241,-71.0696907
American,restaurant,6/8/16,Beacon Hill Hotel,beacon st,413.4,overnight for late working session,Boston,ma,2101,,,"Beacon Hill Hotel,beacon st,Boston,ma",42.3569241,-71.0696907
Bars,food,3/25/16,Beacon Hill Wine and Spirits,63 charles st,61.96,Refreshments for fundraiser,Boston,MA,,,,"Beacon Hill Hotel,beacon st,Boston,ma",42.3569241,-71.0696907
Bars,restaurant,6/8/17,Beantown Pub,,9,colleague meeting to discuss legislative issues,Boston,MA,2101,,,"Beantown Pub,101 tremont st,Boston,MA",42.3572597,-71.0610515
Bars,Dinner With Staff After Meeting On Community Issues,5/16/16,Beantown Pub,100 tremont st,204.77,Dinner With Staff After Meeting On Community Issues,Boston,MA,2108,,,"Beantown Pub,101 tremont st,Boston,MA",42.3572597,-71.0610515
Bars,Food bev young professsional event,3/4/16,Beantown Pub,100 tremont st,74,Food bev young professsional event,Boston,MA,2108,,,"Beantown Pub,101 tremont st,Boston,MA",42.3572597,-71.0610515
Italian,Food,10/27/17,Bella Costa,147 cochituate rd,78.74,After Session Dinner Meeting,Framingham,MA,1701,,,"Bella Costa,147 cochituate rd,Framingham,MA",42.300257,-71.407878
Italian,Food,10/13/17,Bella Costa,147 cochituate rd,69.25,After Session Dinner Meeting,Framingham,MA,1701,,,"Bella Costa,147 cochituate rd,Framingham,MA",42.300257,-71.407878
Italian,Restaurant,3/24/17,Bella Costa,147 cochituate rd,70.25,Dinner Meeting,Framingham,MA,1701,,,"Bella Costa,147 cochituate rd,Framingham,MA",42.300257,-71.407878
Italian,Restaurant,7/10/17,Bella Costa,147 cochituate rd,122.58,Dinner Meeting,Framingham,MA,1701,,,"Bella Costa,147 cochituate rd,Framingham,MA",42.300257,-71.407878
Italian,food,12/8/16,Bella Costa,147 cochituate rd,66.57,Staff Lunch,Framingham,MA,1701,,,"Bella Costa,147 cochituate rd,Framingham,MA",42.300257,-71.407878
Italian,restaurant,1/15/16,Bella Costa,147 cochituate rd,75.6,Work Dinner Discuss Legislation,Framingham,MA,1701,,,"Bella Costa,147 cochituate rd,Framingham,MA",42.300257,-71.407878
Italian,restaurant,3/23/16,Bella Costa,147 cochituate rd,83.02,Work Dinner Discuss Session,Framingham,MA,1701,,,"Bella Costa,147 cochituate rd,Framingham,MA",42.300257,-71.407878
Italian,Work Dinner Meeting Discuss Session,2/3/16,Bella Costa,147 cochituate rd,63.36,Work Dinner Meeting Discuss Session,Framingham,MA,1701,,,"Bella Costa,147 cochituate rd,Framingham,MA",42.300257,-71.407878
Italian,restaurant,7/1/16,Bella Costa,147 cochituate rd,67.11,Working Dinner Discuss Session,Framingham,MA,1701,,,"Bella Costa,147 cochituate rd,Framingham,MA",42.300257,-71.407878
Italian,restaurant,5/18/16,Bella Costa,147 cochituate rd,81.91,Working Dinner Discuss Session,Framingham,MA,1701,,,"Bella Costa,147 cochituate rd,Framingham,MA",42.300257,-71.407878
Italian,Post Primary Pizza and Soft Drinks Celebration,9/8/16,Bella Luna,amory st,284.71,Post Primary Pizza and Soft Drinks Celebration,Boston,MA,2130,,,"Bella Luna,amory st,Boston,MA",42.3144108,-71.1040509
Italian,Meeting Food - Local Priority,5/2/16,Bella Napoli,185 elm st,106.97,Meeting Food - Local Priority,West Springfield,MA,1089,,,"Bella Napoli,185 elm st,West Springfield,MA",42.1073273,-72.6234066
Italian,Rally Dinner,10/27/16,Bella Sarno,553 kelley blvd,245,Rally Dinner,North Attleboro,MA,2760,,,"Bella Sarno,553 kelley blvd,North Attleboro,MA",42.0068795,-71.300904
Italian,Pizza For Hospital Staff,8/25/16,Belvidere House of Pizza,249 high st,28.36,Pizza For Hospital Staff,Lowell,MA,1852,,,"Belvidere House of Pizza,249 high st,Lowell,MA",42.6421153,-71.3007195
Italian,food,3/16/16,Belvidere House of Pizza,249 high st,28.36,Pizza for staff,Lowell,MA,1852,,,"Belvidere House of Pizza,249 high st,Lowell,MA",42.6421153,-71.3007195
Bars,Food,4/27/16,Bentley Pub,602 southbridge st,56.25,Campaign Committee Meeting,Auburn,MA,1501,,,"Bentley Pub,602 southbridge st,Auburn,MA",42.18969,-71.848338
Bars,Food,6/2/16,Bentley Pub,602 southbridge st,63.44,Campaign Meeting With State Committee Members,Auburn,MA,1501,,,"Bentley Pub,602 southbridge st,Auburn,MA",42.18969,-71.848338
Italian,Food,8/19/16,Bertucci's,5 cambridge park drive,75.25,Campaign Strategy lunch,Cambridge,MA,2140,,,"Bertucci's,5 cambridge park drive,Cambridge,MA",42.3949704,-71.1416454
Italian,food,9/25/17,Bertucci's,799 main st,27.8,DBT PURCHASE,Cambridge,MA,2138,Bertucci's,Pizza For Canvassing Event,"Bertucci's,799 main st,Cambridge,MA",42.363407,-71.097366
Italian,Dinner After Out-of-town Speaking Engagement,3/1/16,Bertucci's,1777 massachusetts ave,11.76,Dinner After Out-of-town Speaking Engagement,Lexington,MA,2420,,,"Bertucci's,1777 massachusetts ave,Lexington,MA",42.4478703,-71.2276828
Italian,Election Planning Lunch,11/7/16,Bertucci's,5 cambridge park drive,70.34,Election Planning Lunch,Cambridge,MA,2140,,,"Bertucci's,5 cambridge park drive,Cambridge,MA",42.3949704,-71.1416454
Italian,Food for Council event,12/21/17,Bertucci's,22 merchants row,78.45,Food for Council event,Boston,MA,2109,,,"Bertucci's,22 merchants row,Boston,MA",42.3593983,-71.0558269
Italian,Food,9/14/16,Bertucci's,22 merchants row,78.03,Food for Staff Meeting to discuss city wide issues,Boston,MA,2109,,,"Bertucci's,22 merchants row,Boston,MA",42.3593983,-71.0558269
Italian,Food,11/4/16,Bertucci's,90 main st,88.86,Food For Volunteers,Andover,MA,1810,,,"Bertucci's,90 main st,Andover,MA",42.6542254,-71.1387745
Italian,Food,1/6/16,Bertucci's,275 center st,87,Luncheon,Newton,MA,2158,,,"Bertucci's,275 center st,Newton,MA",42.3585213,-71.1853954
Italian,Pizza for Patriots Parade Luncheon,2/7/17,Bertucci's,22 merchants row,254.32,Pizza for Patriots Parade Luncheon,Boston,MA,2109,,,"Bertucci's,22 merchants row,Boston,MA",42.3593983,-71.0558269
Italian,food,2/25/16,Bertucci's,22 merchants row,377.46,Pizza for students of the Murphy school,Boston,MA,02109-2007,,,"Bertucci's,22 merchants row,Boston,MA",42.3593983,-71.0558269
Italian,food,4/11/17,Bertucci's,old colony pl,61.6,Political Lunch,Plymouth,MA,2360,,,"Bertucci's,old colony pl,Plymouth,MA",41.9488982,-70.7158506
Italian,food,8/1/16,Bertucci's,colony pl,69.29,Political Meeting,Plymouth,MA,2345,,,"Bertucci's,colony pl,Plymouth,MA",41.9488982,-70.7158506
Italian,Dinner With Staff To Discuss Upcoming Scheduling Requests,2/10/16,Bertucci's Restaurant,15 newbury st,48.54,Dinner With Staff To Discuss Upcoming Scheduling Requests,Peabody,MA,1960,,,"Bertucci's Restaurant,15 newbury st,Peabody,MA",42.5214602,-70.9970106
Italian,Food,9/23/16,Bertucci's Restaurant,450 paradise rd,44.32,Lunch Meeting With Lynn City Clerk To Discuss City Council Agenda Items,Swampscott,MA,1907,,,"Bertucci's Restaurant,450 paradise rd,Swampscott,MA",42.4828545,-70.9034445
Italian,food,12/9/16,Bianchi's,322 revere beach blvd,350,Pizza For Election Day - Volunteers and Party,Revere,MA,2151,,,"Bianchi's,322 revere beach blvd,Revere,MA",42.4195433,-70.986719
Italian,food,6/14/17,Big Daddy's Pizza,436 western ave,69.88,Pizza For Community Office Hours,Brighton,MA,2135,,,"Big Daddy's Pizza,436 western ave,Brighton,MA",42.3622802,-71.1408864
Italian,food,5/26/17,Big Daddy's Pizza,436 western ave,198.21,Pizza for Community Office Hours,Brighton,MA,2135,,,"Big Daddy's Pizza,436 western ave,Brighton,MA",42.3622802,-71.1408864
Italian,supplies for spaghetti dinner,7/19/16,Big Y,45 veterans memorial drive,162.16,supplies for spaghetti dinner,North Adams,MA,1247,,,"Big Y,45 veterans memorial drive,North Adams,MA",42.701198,-73.110588
Chinese,Food,11/6/17,Billy Tse Restaurant,240 commercial st,210.15,Food for Volunteers,Boston,MA,2109,,,"Billy Tse Restaurant,240 commercial st,Boston,MA",42.3638332,-71.0513844
Chinese,Dinner after Mayors event,10/24/16,Billy Tse Restaurant,240 commercial st,105,Dinner after Mayors event,Boston,MA,2109,,,"Billy Tse Restaurant,240 commercial st,Boston,MA",42.3638332,-71.0513844
Chinese,Dinner with collegues and staff after fr,4/6/16,Billy Tse Restaurant,240 commercial st,917.78,Dinner with collegues and staff after fr,Boston,MA,2109,,,"Billy Tse Restaurant,240 commercial st,Boston,MA",42.3638332,-71.0513844
Chinese,Dinner with staff after North End meeting,6/14/16,Billy Tse Restaurant,240 commercial st,138,Dinner with staff after North End meeting,Boston,MA,2109,,,"Billy Tse Restaurant,240 commercial st,Boston,MA",42.3638332,-71.0513844
Chinese,Restaurant,12/13/16,Billy Tse Restaurant,240 commercial st,265,Dinner with supporters after event,Boston,MA,2109,,,"Billy Tse Restaurant,240 commercial st,Boston,MA",42.3638332,-71.0513844
Chinese,Dinner with Ward Committee after Caucus,10/25/17,Billy Tse Restaurant,240 commercial st,232,Dinner with Ward Committee after Caucus,Boston,MA,2109,,,"Billy Tse Restaurant,240 commercial st,Boston,MA",42.3638332,-71.0513844
Chinese,Food,5/4/17,Billy Tse Restaurant,240 commercial st,237.9,Food and refreshments for fundraiser,Boston,MA,2109,,,"Billy Tse Restaurant,240 commercial st,Boston,MA",42.3638332,-71.0513844
Chinese,Food,1/17/17,Billy Tse Restaurant,240 commercial st,126,Lunch with constituents to discuss North End issues,Boston,MA,2109,,,"Billy Tse Restaurant,240 commercial st,Boston,MA",42.3638332,-71.0513844
Chinese,food,5/23/16,Billy Tse Restaurant,240 commercial st,917.18,Senate Democratic Caucus dinner,Boston,MA,2109,,,"Billy Tse Restaurant,240 commercial st,Boston,MA",42.3638332,-71.0513844
Chinese,Thank You Dinner For Nempac Event Volunteers,5/22/17,Billy Tse Restaurant,240 commercial st,253.65,Thank You Dinner For Nempac Event Volunteers,Boston,MA,2109,,,"Billy Tse Restaurant,240 commercial st,Boston,MA",42.3638332,-71.0513844
Steakhouse,Food,5/5/17,Blackstone Grill,15 union st,24.9,Campaign lunch meeting,Boston,MA,2108,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Food,3/25/16,Blackstone Grill,,21.5,CHECKCARD,Boston,MA,,Blackstone Grill,Lunch Meeting With Staff,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Dinner with Colleague to Discuss Community Issues,3/20/17,Blackstone Grill,15 union st,36.9,Dinner with Colleague to Discuss Community Issues,Boston,MA,2108,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Food for Goldennaires Senior St. Patrick's Day Luncheon,3/31/16,Blackstone Grill,15 union st,"1,139.55",Food for Goldennaires Senior St. Patrick's Day Luncheon,Boston,MA,2108,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Food,10/13/16,Blackstone Grill,15 union st,72.35,Fundraising lunch meeting,Boston,MA,2109,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Food,12/22/16,Blackstone Grill,15 union st,46.07,Lunch meeting,Boston,MA,2108,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Food,10/24/16,Blackstone Grill,15 union st,39.08,Lunch meeting,Boston,MA,2109,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Food,2/23/16,Blackstone Grill,15 union st,39.08,Lunch Meeting with Staff,Boston,MA,2108,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Food,8/9/17,Blackstone Grill,15 union st,44,Lunch with Colleagues to Discuss Council Issues,Boston,MA,2108,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Lunch with Councilors to Discuss Constituent Issues,3/16/16,Blackstone Grill,15 union st,46.35,Lunch with Councilors to Discuss Constituent Issues,Boston,MA,2108,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Food,1/27/17,Blackstone Grill,15 union st,66.9,Luncheon meeting,Boston,MA,2108,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Food,12/13/16,Blackstone Grill,15 union st,44.83,Luncheon meeting,Boston,MA,2108,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Steakhouse,Superintendent's Dinner,2/23/16,Blackstone Valley Tech,65 pleasant st,250,Superintendent's Dinner,Upton,MA,1568,,,"Blackstone Valley Tech,65 pleasant st,Upton,MA",42.1632345,-71.6162645
Steakhouse,Superintendents Dinner,3/20/17,Blackstone Valley Tech,65 pleasant st,250,Superintendents Dinner,Upton,MA,1568,,,"Blackstone Valley Tech,65 pleasant st,Upton,MA",42.1632345,-71.6162645
Steakhouse,food,4/12/17,Blacktone Grille,,75.01,lunch meeting,Boston,MA,2101,,,"Blackstone Grill,15 union st,Boston,MA",42.36085,-71.056624
Coffee,Food/Coffee with Staff,7/24/17,Bloc 11 Cafe,11 bow st,33.41,Food/Coffee with Staff,Sommerville,MA,2143,,,"Bloc Cafe,11 bow st,Sommerville,MA",42.3808206,-71.0968814
Steakhouse,food,7/31/16,Blue Ribbon BBQ,,308.24,event food,Newton,ma,2158,,,"Blue Ribbon,1375 washington st,West Newton,MA",42.34869,-71.2293541
Steakhouse,food,7/31/16,Blue Ribbon BBQ,,20,event food,Newton,ma,2158,,,"Blue Ribbon,1375 washington st,West Newton,MA",42.34869,-71.2293541
Steakhouse,food,7/31/16,Blue Ribbon BBQ,,660.93,event food,Newton,ma,2158,,,"Blue Ribbon,1375 washington st,West Newton,MA",42.34869,-71.2293541
Bars,Food,11/2/17,Blue Ribbon BBQ,45 kenneth st,584.1,Caucus Lunch,Newton,MA,2158,,,"Blue Ribbon,1375 washington st,West Newton,MA",42.34869,-71.2293541
American,Dinner with Rep Garballey to discuss Restorative Justice,2/7/17,Boston Burger Company,37 davis square,62.09,Dinner with Rep Garballey to discuss Restorative Justice,Sommerville,MA,2144,,,"Boston Burger Company,37 davis square,Sommerville,MA",42.3969966,-71.1225613
American,Food,5/15/17,Boston Burger Company,1105 massachusetts ave.,60.08,Food For Supporter Meeting,Cambridge,MA,2138,,,"Boston Burger Company,1105 massachusetts ave.,Cambridge,MA",42.3707529,-71.113252
American,Food,7/19/17,Boston Burger Company,37 davis square,14.98,Lunch with Staff,Boston,MA,2114,,,"Boston Burger Company,37 davis square,Boston,MA",42.3969966,-71.1225613
Steakhouse,Charitable raffle dinner donation,12/4/17,Boston Chops,1375 washington st,562.24,Charitable raffle dinner donation,Boston,MA,02118-2140,,,"Boston Chops,1375 washington st,Boston,MA",42.3415092,-71.0695165
Steakhouse,Dinner To Discuss South End Event,9/29/16,Boston Chops,1375 washington st,190,Dinner To Discuss South End Event,Boston,MA,2118,,,"Boston Chops,1375 washington st,Boston,MA",42.3415092,-71.0695165
Steakhouse,food,3/23/17,Boston Chops,1375 washington st,185.7,Refreshments With Members after session,Boston,MA,2118,,,"Boston Chops,1375 washington st,Boston,MA",42.3415092,-71.0695165
Steakhouse,food,8/1/16,Boston Chops,1375 washington st,400,Staff Dinner,Boston,MA,2101,,,"Boston Chops,1375 washington st,Boston,MA",42.3415092,-71.0695165
Steakhouse,Stff apprc. dinner re: re-election,3/10/17,Boston Chops,1375 washington st,710.64,Stff apprc. dinner re: re-election,Boston,MA,02118-2140,,,"Boston Chops,1375 washington st,Boston,MA",42.3415092,-71.0695165
Bars,Restaurant,8/25/16,Bostonia Public House,131 state st,76,Dinner with committee staff,Boston,MA,2110,,,"Bostonia,131 state st,Boston,MA",42.3590653,-71.0542192
Bars,Food,10/2/17,Bostonia Public House,131 state st,440.36,Food and refreshments for staff member's farewell,Boston,MA,2110,,,"Bostonia,131 state st,Boston,MA",42.3590653,-71.0542192
Bars,Food,4/25/17,Bostonia Public House,131 state st,"1,001.01",Fundraiser catering,Boston,MA,02109-2813,,,"Bostonia,131 state st,Boston,MA",42.3590653,-71.0542192
Bars,Food,4/25/17,Bostonia Public House,131 state st,135.47,Fundraiser catering,Boston,MA,02109-2813,,,"Bostonia,131 state st,Boston,MA",42.3590653,-71.0542192
Bars,Lunch with Colleague to Discuss Legislative Issues,9/11/17,Bostonia Public House,131 state st,42.31,Lunch with Colleague to Discuss Legislative Issues,Boston,MA,02109-2813,,,"Bostonia,131 state st,Boston,MA",42.3590653,-71.0542192
Bars,Staff Appreciation Dinner,2/1/17,Bostonia Public House,131 state st,559.9,Staff Appreciation Dinner,Boston,MA,2110,,,"Bostonia,131 state st,Boston,MA",42.3590653,-71.0542192
American,Constituent thank you lunch,3/31/17,Brewers' Tap & Table,256 moody st,59.63,Constituent thank you lunch,Waltham,MA,2453,,,"Brewers' Tap & Table,256 moody st,Waltham,MA",42.3717819,-71.2364457
Chinese,Dinner With Housing Advocates To Discuss Housing Issue,12/16/16,Brigham's Chinese Food,695 washington st,71.32,Dinner With Housing Advocates To Discuss Housing Issue,Boston,MA,2111,,,"Brigham's Chinese Food,695 washington st,Boston,MA",42.3512494,-71.0631047
Chinese,Food,9/6/16,Brigham's Chinese Food,728 huntinton ave,20.26,Food For Volunteers,Boston,MA,2115,,,"Brigham's Chinese Food,728 huntinton ave,Boston,MA",42.333779,-71.10516
Chinese,Food,8/16/17,Brigham's Chinese Food,1712 mass ave,45.15,Lunch with Supporter,Cambridge,MA,2138,,,"Brigham's Chinese Food,1712 mass ave,Cambridge,MA",42.383529,-71.119885
Italian,Pizza for Annual Allston-Brighton Party in the Park,9/24/17,Brighton House of Pizza,218 market st,47.28,Pizza for Annual Allston-Brighton Party in the Park,Brighton,MA,2135,,,"Brighton House of Pizza,218 market st,Brighton,MA",42.3550556,-71.14964
Italian,food,9/7/16,Bucci's Deli and Pizzeria,100 summer st,87.67,Pizza For Committtee Meeting,Everett,MA,2149,,,"Bucci's Deli and Pizzeria,100 summer st,Everett,MA",42.4083658,-71.0492646
Italian,food,10/31/16,C and M Pizza,central st,73.42,Pizza For Volunteer Meeting,Leominster,MA,1453,,,"C and M Pizza,central st,Leominster,MA",42.523548,-71.759084
Mexican,Food,10/5/16,Cactus Mexican Grill,44 maverick st,17.1,Food/Catering Expense,East Boston,MA,2128,,,"Cactus Mexican Grill,44 maverick st,East Boston,MA",42.3701232,-71.0391117
Coffee,food,11/3/16,Caffe Nero,733 centre st,8.77,Coffee With Constituent,Boston,MA,2130,,,"Caffe Nero,733 centre st,Boston,MA",42.3109659,-71.1147149
Coffee,food,11/1/16,Caffe Nero,733 centre st,3.21,Coffee With Constituent,Boston,MA,2130,,,"Caffe Nero,733 centre st,Boston,MA",42.3109659,-71.1147149
Coffee,Coffee with constituent on community issues,3/2/16,Caffe Nero,733 centre st,7.49,Coffee with constituent on community issues,Boston,MA,2130,,,"Caffe Nero,733 centre st,Boston,MA",42.3109659,-71.1147149
Italian,Mailings For Pasta Dinner,9/28/16,Campaign That Win,210 park st #210,492.68,Mailings For Pasta Dinner,Worcester,MA,1609,,,"Campaign That Win,210 park st #210,Worcester,MA",42.2716489,-71.8154622
Mexican,Food,7/17/16,Cantina La Mexicana,247 washington st,85.81,All Star Litllet League Team Lunch,Sommerville,MA,02143-3023,,,"Cantina La Mexicana,247 washington st,Sommerville,MA",42.3797481,-71.0941562
Mexican,Food for staff office meeting,2/16/17,Cantina La Mexicana,247 washington st,106.47,Food for staff office meeting,Sommerville,MA,02143-3023,,,"Cantina La Mexicana,247 washington st,Sommerville,MA",42.3797481,-71.0941562
Mexican,Lunch for Senate Session,7/23/16,Cantina La Mexicana,247 washington st,450,Lunch for Senate Session,Boston,MA,2101,,,"Cantina La Mexicana,247 washington st,Boston,MA",42.3797481,-71.0941562
Mexican,Members' Dinner during budget,5/23/17,Cantina La Mexicana,247 washington st,208.5,Members' Dinner during budget,Sommerville,MA,2143,,,"Cantina La Mexicana,247 washington st,Sommerville,MA",42.3797481,-71.0941562
Mexican,food,6/28/17,Cantina La Mexicana,247 washington st,400,Senate Cacus Lunch,Sommerville,MA,2143,,,"Cantina La Mexicana,247 washington st,Sommerville,MA",42.3797481,-71.0941562
Italian,Food,2/2/16,Cape Cod Cafe,979 main st,26.05,Election night pizza for supporters,Brockton,MA,2301,,,"Cape Cod Cafe,979 main st,Brockton,MA",42.0660687,-71.0165786
Italian,Food,2/2/16,Cape Cod Cafe,979 main st,80.76,Election night pizza for supporters,Brockton,MA,2301,,,"Cape Cod Cafe,979 main st,Brockton,MA",42.0660687,-71.0165786
Coffee,Coffee Meeting W/ Staff & Colleagues To Discuss Development Projects,10/11/16,Capitol Coffee House,122 bowdoin st,31.59,Coffee Meeting W/ Staff & Colleagues To Discuss Development Projects,Boston,MA,2108,,,"Capitol Coffee House,122 bowdoin st,Boston,MA",42.3589365,-71.0627373
Coffee,Coffee Meeting W/ Staff To Discuss Bunker Hill Parade Week,6/2/17,Capitol Coffee House,122 bowdoin st,20.27,Coffee Meeting W/ Staff To Discuss Bunker Hill Parade Week,Boston,MA,2108,,,"Capitol Coffee House,122 bowdoin st,Boston,MA",42.3589365,-71.0627373
Coffee,Coffee Meeting W/ Staff To Discuss Schedule,4/19/17,Capitol Coffee House,122 bowdoin st,15.8,Coffee Meeting W/ Staff To Discuss Schedule,Boston,MA,2108,,,"Capitol Coffee House,122 bowdoin st,Boston,MA",42.3589365,-71.0627373
Coffee,Coffee Meeting W/ Staff To Discuss Schedule,6/27/16,Capitol Coffee House,122 bowdoin st,15.73,Coffee Meeting W/ Staff To Discuss Schedule,Boston,MA,2108,,,"Capitol Coffee House,122 bowdoin st,Boston,MA",42.3589365,-71.0627373
Coffee,Coffee Meeting W/ Staff To Discuss Schedule,6/7/16,Capitol Coffee House,122 bowdoin st,11.4,Coffee Meeting W/ Staff To Discuss Schedule,Boston,MA,2108,,,"Capitol Coffee House,122 bowdoin st,Boston,MA",42.3589365,-71.0627373
Coffee,Coffee Meeting W/ Staff To Discuss Schedule,4/13/16,Capitol Coffee House,122 bowdoin st,8.81,Coffee Meeting W/ Staff To Discuss Schedule,Boston,MA,2108,,,"Capitol Coffee House,122 bowdoin st,Boston,MA",42.3589365,-71.0627373
Coffee,Coffee Meeting with Staff,11/21/16,Capitol Coffee House,122 bowdoin st,6.5,Coffee Meeting with Staff,Boston,MA,2108,,,"Capitol Coffee House,122 bowdoin st,Boston,MA",42.3589365,-71.0627373
Coffee,Coffee W/ Staff Re: Scheduling,1/25/17,Capitol Coffee House,122 bowdoin st,15.8,Coffee W/ Staff Re: Scheduling,Boston,MA,2108,,,"Capitol Coffee House,122 bowdoin st,Boston,MA",42.3589365,-71.0627373
Coffee,food,5/19/17,Capitol Coffee House,122 bowdoin st,3.5,Coffee With Constituent,Boston,MA,2108,,,"Capitol Coffee House,122 bowdoin st,Boston,MA",42.3589365,-71.0627373
Coffee,Colleague Coffee,5/12/16,Capitol Coffee House,,20.99,Colleague Coffee,Boston,MA,2201,,,"Capitol Coffee House,122 bowdoin st,Boston,MA",42.3589365,-71.0627373
Italian,food,5/26/16,Capone's Pizzeria,254 church st,43.91,Pizza For Volunteers,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,8/7/16,Capone's Pizzeria,254 church st,11.72,Pizza For Volunteers,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,4/24/16,Capone's Pizzeria,254 church st,58.86,Pizza for Volunteers,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,10/29/16,Capone's Pizzeria,254 church st,52.22,Pizza For Volunteers - Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,7/25/16,Capone's Pizzeria,254 church st,23.43,Pizza For Volunteers - Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,6/12/16,Capone's Pizzeria,254 church st,40.76,Pizza For Volunteers - Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,9/3/16,Capone's Pizzeria,254 church st,15.94,Pizza For Volunteers - Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,7/30/16,Capone's Pizzeria,254 church st,67.39,Pizza For Volunteers - Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,7/10/16,Capone's Pizzeria,254 church st,37.56,Pizza For Volunteers - Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,7/16/16,Capone's Pizzeria,254 church st,23.43,Pizza For Volunteers - Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,7/16/16,Capone's Pizzeria,254 church st,11.72,Pizza For Volunteers - Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,9/17/16,Capone's Pizzeria,254 church st,29.83,Pizza For Volunteers - Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,11/8/16,Capone's Pizzeria,254 church st,64.62,Pizza for Volunteers - Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,8/20/16,Capone's Pizzeria,254 church st,26.63,Pizza for Volunteers for Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,8/27/16,Capone's Pizzeria,254 church st,11.72,Pizza for Volunteers for Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,8/14/16,Capone's Pizzeria,254 church st,23.43,Pizza for Volunteers for Canvassing,Pembroke,MA,2359,,,"Capone's Pizzeria,254 church st,Pembroke,MA",42.1078527,-70.7616217
Italian,food,5/17/16,Cappy's Pizza,82 westland ave,131.16,Pizza for Event,Boston,MA,2115,,,"Cappy's Pizza,82 westland ave,Boston,MA",42.3437372,-71.0896526
American,Constituent Auction Prize Luncheon,4/22/16,Carrie Nation,11 beacon st,95.25,Constituent Auction Prize Luncheon,Boston,MA,2116,,,"Carrie Nation,11 beacon st,Beacon Hill,MA",42.3584588,-71.0617697
American,Constituent Dinner-unsung Heroine,6/23/17,Carrie Nation,11 beacon st,112.02,Constituent Dinner-unsung Heroine,Boston,MA,2101,,,"Carrie Nation,11 beacon st,Beacon Hill,MA",42.3584588,-71.0617697
American,Constituent lunch (6 people),12/26/17,Carrie Nation,11 beacon st,114.43,Constituent lunch (6 people),Boston,MA,2108,,,"Carrie Nation,11 beacon st,Beacon Hill,MA",42.3584588,-71.0617697
